feature_1,feature_2,correlation,absolute_correlation
area_change,max_area,0.999585048368021,0.999585048368021
width_change,max_width,0.9965557392458345,0.9965557392458345
height_change,max_height,0.9964429772560205,0.9964429772560205
late_mean_area,mean_area,0.9963364819987305,0.9963364819987305
std_area,late_mean_area,0.9950371820133466,0.9950371820133466
std_width,late_mean_width,0.991060688456085,0.991060688456085
std_height,late_mean_height,0.9904755393244131,0.9904755393244131
std_area,max_area,0.9895133974526915,0.9895133974526915
area_change,std_area,0.9893505299300686,0.9893505299300686
width_change,std_width,0.9884989921771293,0.9884989921771293
std_width,max_width,0.9873739588773358,0.9873739588773358
late_mean_width,mean_width,0.9855251880555642,0.9855251880555642
std_area,mean_area,0.9853099850312617,0.9853099850312617
late_mean_height,mean_height,0.983810119366268,0.983810119366268
height_change,std_height,0.9836400761773009,0.9836400761773009
std_height,max_height,0.9829784787698103,0.9829784787698103
std_center_x,range_center_x,0.9818374519262032,0.9818374519262032
std_center_y,range_center_y,0.9774365248549778,0.9774365248549778
max_width,late_mean_width,0.9770836861558776,0.9770836861558776
max_area,late_mean_area,0.9754510705098791,0.9754510705098791
area_change,late_mean_area,0.9745740689946811,0.9745740689946811
width_change,late_mean_width,0.9714472664734963,0.9714472664734963
max_height,late_mean_height,0.9705596507422143,0.9705596507422143
height_change,late_mean_height,0.9647364422823277,0.9647364422823277
max_area,mean_area,0.9645859528911841,0.9645859528911841
area_change,mean_area,0.9622199579785087,0.9622199579785087
std_width,mean_width,0.9571001735953295,0.9571001735953295
std_height,mean_height,0.9527475966077682,0.9527475966077682
max_width,mean_width,0.9505759278040129,0.9505759278040129
mean_iou,mean_movement,-0.9441817443870396,0.9441817443870396
max_height,mean_height,0.9376844087468867,0.9376844087468867
width_change,mean_width,0.9340791626344754,0.9340791626344754
max_width,range_center_x,0.9269203827598529,0.9269203827598529
width_change,range_center_x,0.9242785362812365,0.9242785362812365
height_change,mean_height,0.9214188386988984,0.9214188386988984
max_height,range_center_y,0.9157192618000295,0.9157192618000295
std_width,range_center_x,0.913550358989234,0.913550358989234
height_change,range_center_y,0.9128675678405299,0.9128675678405299
std_width,std_center_x,0.9063440960516578,0.9063440960516578
late_mean_width,std_center_x,0.9037364006750522,0.9037364006750522
std_height,range_center_y,0.9033033587929314,0.9033033587929314
max_width,std_center_x,0.9023145721054073,0.9023145721054073
late_mean_width,range_center_x,0.9018165776619792,0.9018165776619792
