model,fold,accuracy,precision,recall,f1,roc_auc
LogisticRegression,1,0.8863636363636364,1.0,0.8717948717948718,0.9315068493150684,0.9903133903133904
LogisticRegression,2,0.8778625954198473,1.0,0.8504672897196262,0.9191919191919192,0.9855919003115264
LogisticRegression,3,0.9312977099236641,0.9805825242718447,0.9351851851851852,0.957345971563981,0.9798711755233495
LogisticRegression,4,0.9307692307692308,0.9903846153846154,0.9279279279279279,0.958139534883721,0.9895685158843054
LogisticRegression,5,0.9307692307692308,1.0,0.923728813559322,0.960352422907489,0.9908192090395481
RandomForest,1,0.9621212121212122,0.9912280701754386,0.9658119658119658,0.9783549783549783,0.9928774928774928
RandomForest,2,0.916030534351145,0.9528301886792453,0.9439252336448598,0.9483568075117371,0.9737149532710281
RandomForest,3,0.9007633587786259,0.9203539823008849,0.9629629629629629,0.9411764705882353,0.9774557165861514
RandomForest,4,0.9692307692307692,0.9734513274336283,0.990990990990991,0.9821428571428571,0.9928876244665716
RandomForest,5,0.9692307692307692,0.9913793103448276,0.9745762711864406,0.9829059829059829,0.9964689265536724
ExtraTrees,1,0.9621212121212122,0.9912280701754386,0.9658119658119658,0.9783549783549783,0.9925925925925926
ExtraTrees,2,0.9312977099236641,0.9622641509433962,0.9532710280373832,0.9577464788732394,0.9768302180685359
ExtraTrees,3,0.9007633587786259,0.9203539823008849,0.9629629629629629,0.9411764705882353,0.9810789049919484
ExtraTrees,4,0.9692307692307692,0.9652173913043478,1.0,0.9823008849557522,0.9924134660976766
ExtraTrees,5,0.9615384615384616,0.991304347826087,0.9661016949152542,0.9785407725321889,0.9943502824858756
GradientBoosting,1,0.9696969696969697,1.0,0.9658119658119658,0.9826086956521739,0.9903133903133903
GradientBoosting,2,0.916030534351145,0.9444444444444444,0.9532710280373832,0.9488372093023256,0.9711838006230529
GradientBoosting,3,0.916030534351145,0.944954128440367,0.9537037037037037,0.9493087557603687,0.9734299516908212
GradientBoosting,4,0.9538461538461539,0.972972972972973,0.972972972972973,0.972972972972973,0.9867235656709341
GradientBoosting,5,0.9538461538461539,0.9827586206896551,0.9661016949152542,0.9743589743589743,0.992231638418079
HistGradientBoosting,1,0.9545454545454546,0.9911504424778761,0.9572649572649573,0.9739130434782609,0.9886039886039886
HistGradientBoosting,2,0.9389312977099237,0.9626168224299065,0.9626168224299065,0.9626168224299065,0.9766355140186916
HistGradientBoosting,3,0.9007633587786259,0.9130434782608695,0.9722222222222222,0.9417040358744395,0.9782608695652173
HistGradientBoosting,4,0.9692307692307692,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9890943575154101
HistGradientBoosting,5,0.9692307692307692,0.9913793103448276,0.9745762711864406,0.9829059829059829,0.992231638418079
