bin,count,mean_probability,observed_rate,gap
0,76,0.012086563881925265,0.18421052631578946,0.17212396243386419
1,6,0.15401323961465263,0.3333333333333333,0.17932009371868068
2,2,0.21881022657107915,0.0,0.21881022657107915
3,3,0.3395771983725384,0.3333333333333333,0.006243865039205099
4,5,0.44232181412109695,0.0,0.44232181412109695
5,2,0.5518339307294762,0.5,0.051833930729476174
6,5,0.6381140701770233,0.8,0.16188592982297678
7,5,0.7675555111579928,0.6,0.16755551115799283
8,7,0.8712216656601389,0.7142857142857143,0.15693595137442462
9,543,0.9983443596834447,0.9779005524861878,0.020443807197256914
