group,records,correct,errors,mean_probability,mean_confidence,accuracy,error_rate
pg1_1,10,8,2,0.686988035458771,0.8804303619828934,0.8,0.2
pg1_2,10,10,0,0.9965488112728069,0.9965488112728069,1.0,0.0
pg1_8,10,6,4,0.7916835761467702,0.9913667308137896,0.6,0.4
pg2_1,10,10,0,0.9017281967405916,0.9968339317289775,1.0,0.0
pg2_4,10,10,0,0.9024984104805169,0.9974820820763245,1.0,0.0
pg2_8,10,9,1,0.9979854397275453,0.9979854397275453,0.9,0.1
pg3_2,10,9,1,0.8771978075565064,0.940760573980423,0.9,0.1
pg3_4,10,10,0,0.9032788643100644,0.9966365756957047,1.0,0.0
pg3_5,10,10,0,0.999997115315274,0.999997115315274,1.0,0.0
pg3_8,10,9,1,0.6423700358597829,0.9575345804109752,0.9,0.1
pg4_1,10,10,0,0.8009639169445559,0.9983999064143483,1.0,0.0
pg4_8,10,10,0,0.8629273614568485,0.9628896114746285,1.0,0.0
pg5_11,10,10,0,0.7998829264552033,0.9996277544269937,1.0,0.0
pg5_5,10,10,0,0.9959638658385055,0.9959638658385055,1.0,0.0
pg6_9,10,10,0,0.999997720998907,0.999997720998907,1.0,0.0
pg7_1,10,10,0,0.7004900148421023,0.9995050410100923,1.0,0.0
pg7_4,10,10,0,0.9996413984785646,0.9996413984785646,1.0,0.0
