bin,lower_bound,upper_bound,records,mean_predicted_probability,observed_positive_rate,absolute_gap
1,0.0,0.1,18,0.015075167041809286,0.1111111111111111,0.09603594406930183
2,0.1,0.2,1,0.182186167880417,1.0,0.817813832119583
3,0.2,0.30000000000000004,0,,,
4,0.30000000000000004,0.4,1,0.3297759409056536,1.0,0.6702240590943465
5,0.4,0.5,1,0.4593948656441766,0.0,0.4593948656441766
6,0.5,0.6000000000000001,1,0.5247751024453532,0.0,0.5247751024453532
7,0.6000000000000001,0.7000000000000001,2,0.6566408427872357,1.0,0.34335915721276433
8,0.7000000000000001,0.8,0,,,
9,0.8,0.9,0,,,
10,0.9,1.0,146,0.9967169055454147,0.9657534246575342,0.03096348088788048
