group,records,actual_non_germinated,actual_germinated,correct,errors,error_rate,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mean_probability,median_probability,error_fraction_of_all_errors,flag_accuracy_below_0_90,flag_f1_below_0_90,flag_error_rate_above_0_20
pg1_1,10,4,6,8,2,0.2,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,1,1,5,0.686988035458771,0.9195521057968414,0.2222222222222222,True,True,False
pg1_2,10,0,10,10,0,0.0,1.0,1.0,1.0,1.0,,0,0,0,10,0.9965488112728069,0.9999962092324549,0.0,False,False,False
pg1_8,10,4,6,6,4,0.4,0.6,0.625,0.8333333333333334,0.7142857142857143,0.3333333333333333,1,3,1,5,0.7916835761467702,0.9997992720775245,0.4444444444444444,True,True,True
pg2_1,10,1,9,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,9,0.9017281967405916,0.9999806076667059,0.0,False,False,False
pg2_4,10,1,9,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,9,0.902498410480517,0.9999938449451914,0.0,False,False,False
pg2_8,10,1,9,9,1,0.1,0.9,0.9,1.0,0.9473684210526315,0.8888888888888888,0,1,0,9,0.9979854397275453,0.9999946668924113,0.1111111111111111,False,False,False
pg3_2,10,0,10,9,1,0.1,0.9,1.0,0.9,0.9473684210526315,,0,0,1,9,0.8771978075565066,0.9999579356560372,0.1111111111111111,False,False,False
pg3_4,10,1,9,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,9,0.9032788643100644,0.9999784311758786,0.0,False,False,False
pg3_5,10,0,10,10,0,0.0,1.0,1.0,1.0,1.0,,0,0,0,10,0.9999971153152739,0.999998846741236,0.0,False,False,False
pg3_8,10,3,7,9,1,0.1,0.9,1.0,0.8571428571428571,0.9230769230769231,1.0,3,0,1,6,0.642370035859783,0.9997731128762533,0.1111111111111111,False,False,False
pg4_1,10,2,8,10,0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,8,0.8009639169445559,0.9999743883830516,0.0,False,False,False
pg4_8,10,1,9,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,9,0.8629273614568485,0.9999966506518071,0.0,False,False,False
pg5_11,10,2,8,10,0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,8,0.7998829264552032,0.9999143006469241,0.0,False,False,False
pg5_5,10,0,10,10,0,0.0,1.0,1.0,1.0,1.0,,0,0,0,10,0.9959638658385055,0.9999947149534509,0.0,False,False,False
pg6_9,10,0,10,10,0,0.0,1.0,1.0,1.0,1.0,,0,0,0,10,0.999997720998907,0.9999975993744616,0.0,False,False,False
pg7_1,10,3,7,10,0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,7,0.7004900148421023,0.9999985415511111,0.0,False,False,False
pg7_4,10,0,10,10,0,0.0,1.0,1.0,1.0,1.0,,0,0,0,10,0.9996413984785646,0.9999958617158275,0.0,False,False,False
