group,track_id,feature,value
pg1_1,5,width_change,3.0
pg1_1,5,mean_iou,0.9975095257619774
pg1_1,5,height_change,4.0
pg1_1,5,area_change,267.0
pg1_1,5,std_center_x,0.17033723342121965
pg1_1,5,std_center_y,0.21526405173011445
pg1_1,5,std_iou,0.011216252966553996
pg1_1,5,middle_mean_width,41.96875
pg1_1,5,movement_std,0.19272248048625737
pg1_1,5,median_movement,0.0
pg1_1,5,middle_mean_height,37.0
pg1_1,5,early_mean_area,1401.71875
pg1_1,5,max_movement,1.5
pg1_1,5,early_mean_width,39.75
pg1_1,5,middle_mean_area,1552.84375
pg1_1,3,width_change,3.0
pg1_1,3,mean_iou,0.9975517829194742
pg1_1,3,height_change,0.0
pg1_1,3,area_change,123.0
pg1_1,3,std_center_x,0.6060154751197364
pg1_1,3,std_center_y,0.30302965890101186
pg1_1,3,std_iou,0.017733428610627367
pg1_1,3,middle_mean_width,46.34375
pg1_1,3,movement_std,0.3310899716663929
pg1_1,3,median_movement,0.0
pg1_1,3,middle_mean_height,41.0
pg1_1,3,early_mean_area,1823.21875
pg1_1,3,max_movement,3.1622776601683795
pg1_1,3,early_mean_width,44.46875
pg1_1,3,middle_mean_area,1900.09375
pg4_8,4,width_change,70.0
pg4_8,4,mean_iou,0.973652059621409
pg4_8,4,height_change,61.0
pg4_8,4,area_change,9108.0
pg4_8,4,std_center_x,4.769765639696114
pg4_8,4,std_center_y,4.598013267381311
pg4_8,4,std_iou,0.030007646987262625
pg4_8,4,middle_mean_width,47.375
pg4_8,4,movement_std,0.5347040579702699
pg4_8,4,median_movement,0.5
pg4_8,4,middle_mean_height,43.15625
pg4_8,4,early_mean_area,1680.71875
pg4_8,4,max_movement,2.0615528128088303
pg4_8,4,early_mean_width,43.84375
pg4_8,4,middle_mean_area,2045.3125
pg1_2,6,width_change,54.0
pg1_2,6,mean_iou,0.9685286706931924
pg1_2,6,height_change,164.0
pg1_2,6,area_change,16758.0
pg1_2,6,std_center_x,3.8094283133853537
pg1_2,6,std_center_y,19.79387886587451
pg1_2,6,std_iou,0.0313813018997606
pg1_2,6,middle_mean_width,36.53125
pg1_2,6,movement_std,0.8533843377610869
pg1_2,6,median_movement,0.5
pg1_2,6,middle_mean_height,50.71875
pg1_2,6,early_mean_area,1397.0
pg1_2,6,max_movement,2.5
pg1_2,6,early_mean_width,34.53125
pg1_2,6,middle_mean_area,1875.53125
pg5_5,2,width_change,3.0
pg5_5,2,mean_iou,0.98981199836161
pg5_5,2,height_change,0.0
pg5_5,2,area_change,96.0
pg5_5,2,std_center_x,1.3210365756405233
pg5_5,2,std_center_y,1.2408877132644185
pg5_5,2,std_iou,0.038804838383683066
pg5_5,2,middle_mean_width,37.125
pg5_5,2,movement_std,0.7479256743936312
pg5_5,2,median_movement,0.0
pg5_5,2,middle_mean_height,32.0
pg5_5,2,early_mean_area,1176.5625
pg5_5,2,max_movement,7.0710678118654755
pg5_5,2,early_mean_width,36.625
pg5_5,2,middle_mean_area,1188.0
