seed_key,group,track_id,worst_feature,maximum_difference
pg1_3__8,pg1_3,8,std_center_x,3.552713678800501e-15
pg1_9__0,pg1_9,0,std_center_x,3.552713678800501e-15
pg1_7__0,pg1_7,0,std_center_x,3.552713678800501e-15
pg1_5__6,pg1_5,6,std_center_y,3.552713678800501e-15
pg1_5__5,pg1_5,5,std_center_x,3.552713678800501e-15
pg7_4__4,pg7_4,4,std_center_x,3.552713678800501e-15
pg2_10__5,pg2_10,5,std_center_x,3.552713678800501e-15
pg4_3__8,pg4_3,8,std_center_x,3.552713678800501e-15
pg4_8__8,pg4_8,8,std_center_y,3.552713678800501e-15
pg2_6__6,pg2_6,6,std_center_x,3.552713678800501e-15
pg3_9__6,pg3_9,6,std_center_y,3.552713678800501e-15
pg6_3__3,pg6_3,3,std_center_x,3.552713678800501e-15
pg4_12__9,pg4_12,9,std_center_x,3.552713678800501e-15
pg6_12__9,pg6_12,9,std_center_x,3.552713678800501e-15
pg3_1__7,pg3_1,7,std_center_y,3.552713678800501e-15
pg3_11__7,pg3_11,7,std_center_x,3.552713678800501e-15
pg6_8__6,pg6_8,6,std_center_y,3.552713678800501e-15
pg6_7__5,pg6_7,5,std_center_y,3.552713678800501e-15
pg6_9__9,pg6_9,9,std_center_y,3.552713678800501e-15
pg7_10__1,pg7_10,1,std_center_x,3.552713678800501e-15
pg6_5__3,pg6_5,3,std_center_x,3.552713678800501e-15
pg6_6__4,pg6_6,4,std_center_y,3.552713678800501e-15
pg1_2__9,pg1_2,9,std_center_y,3.552713678800501e-15
pg7_6__4,pg7_6,4,std_center_y,3.552713678800501e-15
pg8_1__8,pg8_1,8,std_center_y,3.552713678800501e-15
pg7_6__8,pg7_6,8,std_center_x,3.552713678800501e-15
pg3_10__9,pg3_10,9,std_center_x,3.552713678800501e-15
pg1_1__9,pg1_1,9,std_center_y,3.552713678800501e-15
pg2_8__6,pg2_8,6,std_center_y,3.552713678800501e-15
